PID,DN,DP,TN,RL,creation_utc,host_key,name,value,path,expires_utc,is_secure,is_httponly,last_access_utc,has_expires,is_persistent,priority,encrypted_value,samesite,source_scheme,source_port,is_same_party
"(PID, com.android.chrome)","(DN, Cookies)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/Cookies)","(TN, cookies)","(RL, 1)","(creation_utc, 13262068246525063)","(host_key, accounts.snapchat.com)","(name, Marketing)","(value, true)","(path, /)","(expires_utc, 13293604246000000)","(is_secure, 1)","(is_httponly, 0)","(last_access_utc, 13262068246525063)","(has_expires, 1)","(is_persistent, 1)","(priority, 1)","(encrypted_value, )","(samesite, -1)","(source_scheme, 2)","(source_port, -1)","(is_same_party, 0)"
"(PID, com.android.chrome)","(DN, Cookies)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/Cookies)","(TN, cookies)","(RL, 2)","(creation_utc, 13262068246523671)","(host_key, accounts.snapchat.com)","(name, Performance)","(value, true)","(path, /)","(expires_utc, 13293604246000000)","(is_secure, 1)","(is_httponly, 0)","(last_access_utc, 13262068246523671)","(has_expires, 1)","(is_persistent, 1)","(priority, 1)","(encrypted_value, )","(samesite, -1)","(source_scheme, 2)","(source_port, -1)","(is_same_party, 0)"
"(PID, com.android.chrome)","(DN, Cookies)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/Cookies)","(TN, cookies)","(RL, 3)","(creation_utc, 13262068246521575)","(host_key, accounts.snapchat.com)","(name, Preferences)","(value, true)","(path, /)","(expires_utc, 13293604246000000)","(is_secure, 1)","(is_httponly, 0)","(last_access_utc, 13262068246521575)","(has_expires, 1)","(is_persistent, 1)","(priority, 1)","(encrypted_value, )","(samesite, -1)","(source_scheme, 2)","(source_port, -1)","(is_same_party, 0)"
"(PID, com.android.chrome)","(DN, Cookies)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/Cookies)","(TN, cookies)","(RL, 4)","(creation_utc, 13262068245579057)","(host_key, .facebook.com)","(name, sb)","(value, FolqYNwyZF34Oo5CxjFe7A40)","(path, /)","(expires_utc, 13325140245579057)","(is_secure, 1)","(is_httponly, 1)","(last_access_utc, 13270190491456169)","(has_expires, 1)","(is_persistent, 1)","(priority, 1)","(encrypted_value, )","(samesite, 0)","(source_scheme, 2)","(source_port, -1)","(is_same_party, 0)"
"(PID, com.android.chrome)","(DN, Cookies)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/Cookies)","(TN, cookies)","(RL, 5)","(creation_utc, 13262068246516084)","(host_key, accounts.snapchat.com)","(name, sc-cookies-accepted)","(value, true)","(path, /)","(expires_utc, 13293604246000000)","(is_secure, 1)","(is_httponly, 0)","(last_access_utc, 13262068246516084)","(has_expires, 1)","(is_persistent, 1)","(priority, 1)","(encrypted_value, )","(samesite, -1)","(source_scheme, 2)","(source_port, -1)","(is_same_party, 0)"
"(PID, com.android.chrome)","(DN, Cookies)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/Cookies)","(TN, cookies)","(RL, 6)","(creation_utc, 13262068930104920)","(host_key, .townside.com)","(name, _ga)","(value, GA1.2.1603234505.1617595330)","(path, /)","(expires_utc, 13325140935000000)","(is_secure, 0)","(is_httponly, 0)","(last_access_utc, 13265612814213353)","(has_expires, 1)","(is_persistent, 1)","(priority, 1)","(encrypted_value, )","(samesite, -1)","(source_scheme, 2)","(source_port, -1)","(is_same_party, 0)"
"(PID, com.android.chrome)","(DN, Cookies)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/Cookies)","(TN, cookies)","(RL, 7)","(creation_utc, 13262068935462875)","(host_key, www.townside.com)","(name, _sp_id.e4fb)","(value, bf1d903a6885f346.1617595330.1.1617595335.1617595330)","(path, /)","(expires_utc, 13325140935000000)","(is_secure, 0)","(is_httponly, 0)","(last_access_utc, 13265612814213353)","(has_expires, 1)","(is_persistent, 1)","(priority, 1)","(encrypted_value, )","(samesite, -1)","(source_scheme, 2)","(source_port, -1)","(is_same_party, 0)"
"(PID, com.android.chrome)","(DN, Cookies)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/Cookies)","(TN, cookies)","(RL, 8)","(creation_utc, 13262068929339865)","(host_key, www.townside.com)","(name, dm_last_page_view)","(value, 1617595329336)","(path, /)","(expires_utc, 13293604935000000)","(is_secure, 0)","(is_httponly, 0)","(last_access_utc, 13265612814213353)","(has_expires, 1)","(is_persistent, 1)","(priority, 1)","(encrypted_value, )","(samesite, -1)","(source_scheme, 2)","(source_port, -1)","(is_same_party, 0)"
"(PID, com.android.chrome)","(DN, Cookies)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/Cookies)","(TN, cookies)","(RL, 9)","(creation_utc, 13262068929344519)","(host_key, www.townside.com)","(name, dm_last_visit)","(value, 1617595329336)","(path, /)","(expires_utc, 13293604929000000)","(is_secure, 0)","(is_httponly, 0)","(last_access_utc, 13265612814213353)","(has_expires, 1)","(is_persistent, 1)","(priority, 1)","(encrypted_value, )","(samesite, -1)","(source_scheme, 2)","(source_port, -1)","(is_same_party, 0)"
"(PID, com.android.chrome)","(DN, Cookies)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/Cookies)","(TN, cookies)","(RL, 10)","(creation_utc, 13262068935277765)","(host_key, www.townside.com)","(name, dm_this_page_view)","(value, 1617595335275)","(path, /)","(expires_utc, 13293604935000000)","(is_secure, 0)","(is_httponly, 0)","(last_access_utc, 13265612814213353)","(has_expires, 1)","(is_persistent, 1)","(priority, 1)","(encrypted_value, )","(samesite, -1)","(source_scheme, 2)","(source_port, -1)","(is_same_party, 0)"
